GTDB-Tk Taxonomy Lineage	n
Bacteria|Gemmatimonadota|Gemmatimonadetes|Gemmatimonadales|GWC2-71-9|JABFSM01	1
Bacteria|Gemmatimonadota|Gemmatimonadetes|Gemmatimonadales|GWC2-71-9|JACDDX01	3
Bacteria|Gemmatimonadota|Gemmatimonadetes|Gemmatimonadales|GWC2-71-9|JAGGAG01	1
Bacteria|Gemmatimonadota|Gemmatimonadetes|Gemmatimonadales|GWC2-71-9|SPDF01	1
Bacteria|Gemmatimonadota|Gemmatimonadetes|Gemmatimonadales|GWC2-71-9|WVYX01	1
Bacteria|Gemmatimonadota|Gemmatimonadetes|Gemmatimonadales|Gemmatimonadaceae	2
Bacteria|Gemmatimonadota|Gemmatimonadetes|Gemmatimonadales|Gemmatimonadaceae|AG2	1
Bacteria|Gemmatimonadota|Gemmatimonadetes|Gemmatimonadales|Gemmatimonadaceae|Fen-1231	2
Bacteria|Gemmatimonadota|Gemmatimonadetes|Gemmatimonadales|Gemmatimonadaceae|UBA4720	1
Bacteria|Gemmatimonadota|Gemmatimonadetes|JACCXV01	1
Bacteria|Gemmatimonadota|Gemmatimonadetes|Longimicrobiales|RSA9	1
Bacteria|Krumholzibacteriota|Krumholzibacteria|WVZY01	1
Bacteria|Methylomirabilota|Methylomirabilia|Methylomirabilales|2-02-FULL-66-22|2-02-FULL-66-22	1
Bacteria|Methylomirabilota|Methylomirabilia|Rokubacteriales|CSP1-6	4
Bacteria|Methylomirabilota|Methylomirabilia|Rokubacteriales|CSP1-6|AR12	5
Bacteria|Methylomirabilota|Methylomirabilia|Rokubacteriales|CSP1-6|AR37	1
Bacteria|Methylomirabilota|Methylomirabilia|Rokubacteriales|CSP1-6|AR5	2
Bacteria|Methylomirabilota|Methylomirabilia|Rokubacteriales|CSP1-6|AR9	1
Bacteria|Methylomirabilota|Methylomirabilia|Rokubacteriales|CSP1-6|JACQFL01	2
Bacteria|Myxococcota_A|UBA9160|SZUA-336|SZUA-336|VGRW01	1
Bacteria|Myxococcota_A|UBA9160|UBA9160|UBA4427	1
Bacteria|Myxococcota|Myxococcia|Myxococcales|40CM-4-68-19|40CM-4-68-19	3
Bacteria|Myxococcota|Myxococcia|Myxococcales|Anaeromyxobacteraceae|R267	1
Bacteria|Myxococcota|Myxococcia|Myxococcales|Myxococcaceae	2
Bacteria|Myxococcota|Myxococcia|Myxococcales|Myxococcaceae|JADGRA01	4
Bacteria|Myxococcota|Myxococcia|Myxococcales|Myxococcaceae|RPRB01	1
Bacteria|Myxococcota|Polyangia|Haliangiales|Haliangiaceae|JABFXX01	1
Bacteria|Myxococcota|Polyangia|Palsa-1104_A|Fen-1088	5
Bacteria|Myxococcota|Polyangia|Palsa-1104_A|Fen-1088|Fen-1118	1
Bacteria|Myxococcota|Polyangia|Palsa-1104_A|Fen-1088|JADGRB01	3
Bacteria|Myxococcota|Polyangia|Polyangiales|JAFGIB01	1
Bacteria|Myxococcota|Polyangia|Polyangiales|Polyangiaceae	3
Bacteria|Myxococcota|Polyangia|Polyangiales|Polyangiaceae|PMG-095	2
