#SampleID	Metaphlan2_Analysis
d__Bacteria|p__Myxococcota|c__Polyangia	2
d__Bacteria|p__Myxococcota|c__Polyangia|o__Palsa-1104_A	1
d__Bacteria|p__Myxococcota|c__Polyangia|o__Palsa-1104_A|f__Fen-1088	1
d__Bacteria|p__Myxococcota|c__Polyangia|o__Palsa-1104_A|f__Fen-1088|g__JADGRB01	1
d__Bacteria|p__Myxococcota|c__Polyangia|o__Palsa-1104_A|f__Fen-1088|g__JADGRB01|s__	1
d__Bacteria|p__Myxococcota|c__Polyangia|o__Polyangiales	1
d__Bacteria|p__Myxococcota|c__Polyangia|o__Polyangiales|f__Polyangiaceae	1
d__Bacteria|p__Myxococcota|c__Polyangia|o__Polyangiales|f__Polyangiaceae|g__Palsa-1150	1
d__Bacteria|p__Myxococcota|c__Polyangia|o__Polyangiales|f__Polyangiaceae|g__Palsa-1150|s__	1
d__Bacteria|p__Nitrospirota	1
d__Bacteria|p__Nitrospirota|c__Nitrospiria	1
d__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales	1
d__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales|f__Nitrospiraceae	1
d__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales|f__Nitrospiraceae|g__Palsa-1315	1
d__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales|f__Nitrospiraceae|g__Palsa-1315|s__	1
d__Bacteria|p__Omnitrophota	2
d__Bacteria|p__Omnitrophota|c__Koll11	2
d__Bacteria|p__Omnitrophota|c__Koll11|o__UBA10015	2
d__Bacteria|p__Omnitrophota|c__Koll11|o__UBA10015|f__GCA-002753745	2
d__Bacteria|p__Omnitrophota|c__Koll11|o__UBA10015|f__GCA-002753745|g__JABDGZ01	2
d__Bacteria|p__Omnitrophota|c__Koll11|o__UBA10015|f__GCA-002753745|g__JABDGZ01|s__	2
d__Bacteria|p__Patescibacteria	65
d__Bacteria|p__Patescibacteria|c__Doudnabacteria	5
d__Bacteria|p__Patescibacteria|c__Doudnabacteria|o__UBA920	5
d__Bacteria|p__Patescibacteria|c__Doudnabacteria|o__UBA920|f__UBA920	4
d__Bacteria|p__Patescibacteria|c__Doudnabacteria|o__UBA920|f__UBA920|g__	1
d__Bacteria|p__Patescibacteria|c__Doudnabacteria|o__UBA920|f__UBA920|g__|s__	1
d__Bacteria|p__Patescibacteria|c__Doudnabacteria|o__UBA920|f__UBA920|g__PALSA-1336	3
d__Bacteria|p__Patescibacteria|c__Doudnabacteria|o__UBA920|f__UBA920|g__PALSA-1336|s__	3
d__Bacteria|p__Patescibacteria|c__Doudnabacteria|o__UBA920|f__VMFF01	1
d__Bacteria|p__Patescibacteria|c__Doudnabacteria|o__UBA920|f__VMFF01|g__	1
d__Bacteria|p__Patescibacteria|c__Doudnabacteria|o__UBA920|f__VMFF01|g__|s__	1
d__Bacteria|p__Patescibacteria|c__Microgenomatia	12
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__GWA2-44-7	1
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__GWA2-44-7|f__UBA8517	1
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__GWA2-44-7|f__UBA8517|g__	1
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__GWA2-44-7|f__UBA8517|g__|s__	1
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Levybacterales	11
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Levybacterales|f__UBA12049	11
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Levybacterales|f__UBA12049|g__	1
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Levybacterales|f__UBA12049|g__|s__	1
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Levybacterales|f__UBA12049|g__JACDET01	8
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Levybacterales|f__UBA12049|g__JACDET01|s__	8
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Levybacterales|f__UBA12049|g__PJMG01	1
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Levybacterales|f__UBA12049|g__PJMG01|s__	1
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Levybacterales|f__UBA12049|g__PPGL01	1
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Levybacterales|f__UBA12049|g__PPGL01|s__	1
d__Bacteria|p__Patescibacteria|c__Paceibacteria	34
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA6257	21
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA6257|f__2-01-FULL-56-20	21
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA6257|f__2-01-FULL-56-20|g__	10
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA6257|f__2-01-FULL-56-20|g__|s__	10
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA6257|f__2-01-FULL-56-20|g__CAJAQL01	11
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA6257|f__2-01-FULL-56-20|g__CAJAQL01|s__	11
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A	13
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__PALSA-1337	2
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__PALSA-1337|g__PALSA-1337	2
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__PALSA-1337|g__PALSA-1337|s__	2
