IMG Taxon id,GOLD biome1,GOLD biome2,High quality reads sampled (up to 500K),Mapped to GEM catalogue,Mapped to NCBI RefSeq,Mapped to either,Nonpareil kmer diversity
3300017494,Aquatic,Freshwater,413506,152632,29055,156658,20.9299817700142
3300027696,Terrestrial,Soil,479772,73670,4998,78056,20.9297671180187
3300026321,Aquatic,Marine,472593,78718,12067,82761,20.9223190254883
3300009770,Engineered,Bioreactor,445611,239313,22092,247848,20.9198852054159
3300010375,Host-associated,Plants,469050,49912,30602,67522,20.9160913724784
3300027786,Engineered,Wastewater,451248,43999,16200,53683,20.914726776556
3300005529,Terrestrial,Soil,433753,23476,2288,25338,20.9141419671362
3300018080,Aquatic,Non-marine Saline and Alkaline,410360,21116,2578,21818,20.910097461565
3300014156,Aquatic,Freshwater,475502,85987,1686,86776,20.9095885259913
3300010343,Terrestrial,Soil,470807,33454,830,33942,20.906851578758
3300016461,Aquatic,Marine,407349,38696,133194,133945,20.9036881503774
3300021514,Aquatic,Marine,451151,16277,411,16453,20.902852945587
3300027572,Aquatic,Marine,466982,134423,37943,141050,20.9011810522484
3300021085,Aquatic,Marine,445478,142695,36202,149513,20.8961751333555
3300025852,Terrestrial,Soil,385726,98368,6232,101743,20.8958091194883
3300025457,Terrestrial,Soil,266857,37686,1401,38384,20.8954823469154
3300012181,Host-associated,Fungi,476730,41371,12169,46742,20.8884476003666
3300027776,Engineered,Wastewater,450071,70674,12438,76992,20.881217818784
3300024285,Aquatic,Freshwater,468009,125177,25689,128686,20.8659363702949
3300024496,Aquatic,Freshwater,469563,53070,6980,55015,20.8656486256162
3300011411,Host-associated,Fungi,486571,22805,100746,104692,20.862358824461
3300027553,Aquatic,Marine,469767,131101,35105,136763,20.8525876681339
3300009824,Terrestrial,Soil,459328,101800,8602,109748,20.8485896189417
3300027192,Aquatic,Marine,475110,163010,30747,172841,20.8443067011777
3300025703,Terrestrial,Soil,291717,31569,862,32062,20.8412043078223
3300027501,Aquatic,Marine,467460,127361,33052,133162,20.8395772661622
3300021347,Aquatic,Marine,443187,58813,16783,68234,20.8389793091502
3300018428,Aquatic,Marine,446478,64328,16231,76404,20.8340955976158
3300024322,Aquatic,Marine,481117,108218,49819,123370,20.8334032679755
3300025496,Aquatic,Freshwater,463185,174694,1637,175550,20.8295335132142
3300014497,Host-associated,Plants,481899,89497,138045,153282,20.8245758342375
3300025198,Aquatic,Marine,349898,101113,84019,110890,20.8235889208795
3300024289,Aquatic,Freshwater,471977,60638,6721,62532,20.8192943713006
3300021506,Aquatic,Marine,464571,53207,896,53819,20.8145747929444
3300027962,Aquatic,Marine,347523,1607,2747,3869,20.8144504691644
3300027969,Aquatic,Freshwater,457428,51830,12060,59706,20.8134103745882
3300027766,Host-associated,Plants,472826,97599,126088,128150,20.8119831530863
3300027305,Aquatic,Marine,465628,164019,18671,172910,20.8115025868562
3300014493,Terrestrial,Soil,482071,11095,812,11507,20.8083008635721
3300027185,Aquatic,Marine,473267,155617,31159,167255,20.8030447949853
3300020189,Aquatic,Marine,458770,137286,11392,141818,20.7982499508321
3300027758,Aquatic,Marine,473320,40723,42780,63683,20.7965989797096
3300025664,Terrestrial,Soil,296000,22730,764,23089,20.7956939219
3300025420,Aquatic,Freshwater,462595,130368,5786,133792,20.7905740767144
3300027878,Aquatic,Freshwater,468251,108118,2433,109551,20.7872243255555
3300005662,Aquatic,Freshwater,433488,55826,11311,63201,20.7861678164589
3300025770,Aquatic,Marine,453988,193816,17298,198346,20.776672095955
3300025686,Engineered,Wastewater,477268,303858,45948,305848,20.7690685790626
3300027850,Aquatic,Freshwater,462278,122604,9274,127791,20.7615278141155
3300012942,Terrestrial,Soil,459066,12211,33801,37283,20.7602409665863
3300017565,Terrestrial,Soil,483675,106377,109971,167766,20.7570888193687
3300002164,Engineered,Biotransformation,381622,155644,33982,171935,20.7565713317541
3300027864,Host-associated,Arthropoda,416260,13161,739,13814,20.7553349637399
3300027893,Aquatic,Marine,337207,4488,115,4513,20.7535658938335
3300027158,Terrestrial,Soil,373168,17249,1835,18634,20.7527653945112
3300025619,Terrestrial,Soil,294815,55109,1217,55668,20.7510112756525
3300024295,Terrestrial,Peat,462124,8951,3428,10482,20.7505894743885
3300027896,Aquatic,Freshwater,379298,13235,300,13393,20.7488138947453
3300022838,Aquatic,Non-marine Saline and Alkaline,478994,121483,7268,122031,20.7478081968693
3300027418,Aquatic,Marine,429843,130333,16318,139216,20.740991553792
3300027110,Terrestrial,Soil,370409,13737,1196,14541,20.7403065130366
3300025783,Aquatic,Freshwater,461702,95221,7552,100161,20.7329632202531
3300027315,Aquatic,Marine,430021,143027,43401,148500,20.7321025845341
3300013006,Aquatic,Freshwater,461689,81293,12831,89622,20.7314744397453
3300025628,Aquatic,Non-marine Saline and Alkaline,457734,129453,6768,130946,20.7277862132134
3300024972,Aquatic,Freshwater,395726,150578,62204,170816,20.7214440947453
3300014158,Aquatic,Freshwater,478105,108548,3217,109960,20.7196547293433
3300027967,Aquatic,Marine,472858,38405,36959,55029,20.719255891561
3300018878,Host-associated,Mammals,436836,67112,3337,68009,20.7181822595718
3300025701,Aquatic,Marine,467193,141890,50945,150711,20.7174148381346
3300002508,Host-associated,Arthropoda,454012,1004,1363,2101,20.7150867799582
3300027828,Aquatic,Marine,466201,165324,21455,170549,20.7097095652647
3300012177,Host-associated,Fungi,479271,118234,38752,124083,20.7080523345082
3300027798,Aquatic,Freshwater,382977,47971,11974,55178,20.6990345904833
3300020055,Aquatic,Marine,473285,73725,15836,84464,20.697876513988
3300024509,Aquatic,Freshwater,474950,96239,23669,104238,20.6897826735711
3300026077,Aquatic,Marine,469337,38900,27138,53226,20.686409277078
3300024298,Aquatic,Freshwater,470423,108441,20377,112055,20.6827439775952
3300027858,Aquatic,Marine,285273,3771,21875,25013,20.6793957355181
3300027794,Engineered,Wastewater,449001,56909,10288,62489,20.6718001194702
3300025477,Aquatic,Freshwater,469705,205858,588,206095,20.6696369491682
3300014491,Terrestrial,Soil,479515,25386,1171,26051,20.6552407902218
3300013103,Aquatic,Marine,446880,68045,10119,77579,20.6525724366869
3300027980,Aquatic,Marine,471257,170227,22269,174998,20.6476023995188
3300025542,Engineered,Lab enrichment,369840,117984,142845,173529,20.6391470439329
3300012533,Engineered,Wastewater,440772,78565,7951,82202,20.6365738571105
3300025648,Aquatic,Freshwater,456825,169660,5204,172207,20.6348735938567
3300010157,Aquatic,Freshwater,454970,57774,4462,61218,20.6314079498086
3300025459,Aquatic,Freshwater,467495,200395,802,200785,20.627073128566
3300024417,Aquatic,Marine,480135,110783,40891,122281,20.6190856749615
3300027734,Aquatic,Freshwater,461563,56050,11327,63766,20.6177655018005
3300027406,Aquatic,Marine,468001,155764,47644,163334,20.6169696204201
3300021490,Aquatic,Marine,461226,79474,1763,80669,20.6067498992145
3300027804,Aquatic,Freshwater,444477,104102,13853,112076,20.6047727285192
3300026292,Aquatic,Marine,467906,58212,15536,68514,20.6045905330861
3300025776,Aquatic,Marine,351987,102849,35374,112663,20.6034048946841
3300025888,Terrestrial,Soil,373025,98541,5661,101790,20.5989974815581
3300021494,Aquatic,Marine,455575,68566,4375,71337,20.5987281011882
3300015214,Engineered,Solid waste,466414,107960,21394,119602,20.5985780826301
3300025581,Terrestrial,Soil,251472,47986,1255,48551,20.595705575929
3300023184,Aquatic,Freshwater,480769,76249,10711,82696,20.5916762800207
3300026074,Aquatic,Marine,459464,117742,13289,123971,20.5858257979286
3300017946,Aquatic,Freshwater,478190,85238,1562,85991,20.5822354658342
3300025856,Engineered,Wastewater,481373,241184,26842,246838,20.5648942633164
3300025437,Aquatic,Freshwater,443905,78136,4102,81193,20.5534307859335
3300025679,Terrestrial,Soil,297725,34288,644,34645,20.5518570746595
3300022661,Host-associated,Mammals,459289,72100,3261,72873,20.5517701161893
3300027769,Aquatic,Freshwater,421992,60917,12778,69266,20.5501894405649
3300025446,Aquatic,Freshwater,453071,181541,448,181742,20.5453277751315
3300025570,Aquatic,Marine,452761,64859,16121,71703,20.5448634893512
3300006052,Aquatic,Sediment,455984,7016,1279,7804,20.5406985011369
3300017685,Host-associated,Plants,467696,12394,35934,39626,20.5401666930092
3300013014,Aquatic,Freshwater,458703,54226,14012,64958,20.5392095343347
3300023230,Aquatic,Non-marine Saline and Alkaline,465247,70068,13519,78887,20.5382683040854
3300017988,Aquatic,Freshwater,436599,16959,829,17506,20.5343844102552
3300027971,Aquatic,Freshwater,450994,83927,10645,91876,20.534055248845
3300026265,Aquatic,Marine,463998,151634,12525,155638,20.5326615635997
3300027582,Aquatic,Marine,468272,152265,51360,161601,20.5292729024085
3300025716,Terrestrial,Soil,401262,93983,8041,98875,20.5269085780028
3300021511,Aquatic,Marine,450540,79318,259,79435,20.5268785645106
3300025722,Aquatic,Marine,449193,197686,21903,201782,20.5175412162472
3300025624,Engineered,Lab enrichment,386774,133071,144509,186400,20.5159089563778
3300025377,Aquatic,Non-marine Saline and Alkaline,257800,53240,2273,54017,20.5139609679864
3300025238,Aquatic,Marine,258573,100075,31350,107096,20.5112821011686
3300025407,Aquatic,Freshwater,453875,75139,5260,78452,20.505370063706
3300024356,Aquatic,Freshwater,475584,88713,17474,93554,20.504070338842
3300022753,Host-associated,Mammals,443873,72981,3659,73825,20.5024608769826
3300027638,Aquatic,Freshwater,296563,26963,10308,27304,20.5000274469385
3300026093,Aquatic,Marine,473336,73088,51816,94898,20.4940414118555
3300021471,Aquatic,Marine,480349,81939,4367,85280,20.490295357858
3300012044,Aquatic,Freshwater,459355,68063,16660,74772,20.4851407566296
3300010296,Aquatic,Marine,476089,33554,16290,44148,20.4777369151711
3300027823,Aquatic,Freshwater,466000,130370,8373,135111,20.4767819000138
3300027082,Aquatic,Marine,195938,17663,11309,26445,20.4766828154344
3300025110,Aquatic,Marine,473869,31304,19507,34235,20.4759552049304
