uid,siteID,extractionStartDate,extractionEndDate,kclReferenceID,kclBlank1ID,kclBlank1Code,kclBlank2ID,kclBlank2Code,kclBlank3ID,kclBlank3Code,remarks,dataQF,publicationDate,release
8f50c71f-a2f7-4af8-9c82-87d226c886f1,GRSM,2021-11-11,2021-11-11,GRSM-20211111-BREF1,GRSM-20211111-BREF1-A,B00000085696,GRSM-20211111-BREF1-B,B00000085688,,,"",,20220516T154743Z,PROVISIONAL
d0a4b7e7-d56d-4b10-bb2b-e1aed0d4297d,MLBS,2018-04-24,2018-04-24,MLBS-20180424-BREF1,MLBS-20180424-BREF1-A,A00000011462,MLBS-20180424-BREF1-B,A00000011312,MLBS-20180424-BREF1-C,A00000011318,,,20211222T041702Z,RELEASE-2022
1c1c924b-3a53-42db-bdb4-e4d9ff28fa04,MLBS,2018-04-25,2018-04-25,MLBS-20180425-BREF1,MLBS-20180425-BREF1-A,A00000011419,MLBS-20180425-BREF1-B,A00000011430,MLBS-20180425-BREF1-C,A00000011319,,,20211222T041702Z,RELEASE-2022
ed2b51a2-d72f-4f3f-8f18-989ff401e161,MLBS,2018-04-26,2018-04-26,MLBS-20180426-BREF1,MLBS-20180426-BREF1-A,A00000011469,MLBS-20180426-BREF1-B,A00000011468,MLBS-20180426-BREF1-C,A00000011470,,,20211222T041702Z,RELEASE-2022
0cf739a5-ae1c-46c6-af56-2d9106b1b04a,MLBS,2018-05-15,2018-05-15,MLBS-20180515-BREF1,MLBS-20180515-BREF1-A,A00000011375,MLBS-20180515-BREF1-B,A00000011374,MLBS-20180515-BREF1-C,A00000011373,,,20211222T043807Z,RELEASE-2022
d63d3f69-6f89-47b7-8485-53e9e764064b,MLBS,2018-06-12,2018-06-12,MLBS-20180612-BREF1,MLBS-20180612-BREF1-A,B00000025610,MLBS-20180612-BREF1-B,B00000025612,MLBS-20180612-BREF1-C,B00000025611,,,20211221T213220Z,RELEASE-2022
3fd68e9d-5737-4ff7-94c5-b2037c08dbc9,MLBS,2018-06-13,2018-06-13,MLBS-20180613-BREF2,MLBS-20180613-BREF2-A,B00000025655,MLBS-20180613-BREF2-B,B00000025657,MLBS-20180613-BREF2-C,B00000025656,,,20211221T213220Z,RELEASE-2022
015ef319-8714-4bfd-8a56-fdadff0b3180,MLBS,2018-06-13,2018-06-13,MLBS-20180613-BREF1,MLBS-20180613-BREF1-A,B00000025670,MLBS-20180613-BREF1-B,B00000025672,MLBS-20180613-BREF1-C,B00000025671,,,20211221T213220Z,RELEASE-2022
1ef98ee0-7c47-4e21-84c6-d7b6ab1367cf,MLBS,2018-07-04,2018-07-04,MLBS-20180704-BREF1,MLBS-20180704-BREF1-A,B00000025679,MLBS-20180704-BREF1-B,B00000025678,MLBS-20180704-BREF1-C,B00000025677,,,20211221T221949Z,RELEASE-2022
dee61189-ff6f-4c2f-addd-a4c1117ce806,MLBS,2018-07-04,2018-07-04,MLBS-20180704-BREF2,MLBS-20180704-BREF2-A,B00000025680,MLBS-20180704-BREF2-B,B00000025674,MLBS-20180704-BREF2-C,B00000025685,,,20211221T221949Z,RELEASE-2022
